sigma instument: 0.900000; template number: 350; mask region: 0; degree: 8; velocity dispersion: 215 km/s; chi^2: 1.395016;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 9; velocity dispersion: 219 km/s; chi^2: 1.304146;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 10; velocity dispersion: 220 km/s; chi^2: 1.221636;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 11; velocity dispersion: 219 km/s; chi^2: 1.162817;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 12; velocity dispersion: 219 km/s; chi^2: 1.155826;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 13; velocity dispersion: 220 km/s; chi^2: 1.149443;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 14; velocity dispersion: 218 km/s; chi^2: 1.095793;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 15; velocity dispersion: 218 km/s; chi^2: 1.095306;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 16; velocity dispersion: 216 km/s; chi^2: 1.049301;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 17; velocity dispersion: 217 km/s; chi^2: 1.039232;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 18; velocity dispersion: 220 km/s; chi^2: 1.008923;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 19; velocity dispersion: 219 km/s; chi^2: 0.979506;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 20; velocity dispersion: 219 km/s; chi^2: 0.973200;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 4; velocity dispersion: 232 km/s; chi^2: 1.328215;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 5; velocity dispersion: 215 km/s; chi^2: 1.216325;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 6; velocity dispersion: 215 km/s; chi^2: 1.129539;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 7; velocity dispersion: 219 km/s; chi^2: 1.110918;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 8; velocity dispersion: 220 km/s; chi^2: 1.107158;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 9; velocity dispersion: 230 km/s; chi^2: 1.068286;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 10; velocity dispersion: 229 km/s; chi^2: 1.064792;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 11; velocity dispersion: 225 km/s; chi^2: 1.002456;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 12; velocity dispersion: 225 km/s; chi^2: 0.932810;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 13; velocity dispersion: 225 km/s; chi^2: 0.932200;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 14; velocity dispersion: 225 km/s; chi^2: 0.903097;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 15; velocity dispersion: 226 km/s; chi^2: 0.894733;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 16; velocity dispersion: 225 km/s; chi^2: 0.892809;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 17; velocity dispersion: 226 km/s; chi^2: 0.892390;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 18; velocity dispersion: 225 km/s; chi^2: 0.891771;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 19; velocity dispersion: 226 km/s; chi^2: 0.891078;
sigma instument: 0.900000; template number: 350; mask region: 1; degree: 20; velocity dispersion: 227 km/s; chi^2: 0.888144;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 4; velocity dispersion: 232 km/s; chi^2: 1.633206;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 5; velocity dispersion: 245 km/s; chi^2: 1.529661;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 6; velocity dispersion: 222 km/s; chi^2: 1.439378;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 7; velocity dispersion: 219 km/s; chi^2: 1.411683;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 8; velocity dispersion: 216 km/s; chi^2: 1.375820;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 9; velocity dispersion: 220 km/s; chi^2: 1.290268;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 10; velocity dispersion: 221 km/s; chi^2: 1.216224;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 11; velocity dispersion: 221 km/s; chi^2: 1.156682;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 12; velocity dispersion: 222 km/s; chi^2: 1.150342;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 13; velocity dispersion: 220 km/s; chi^2: 1.144263;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 14; velocity dispersion: 219 km/s; chi^2: 1.094630;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 15; velocity dispersion: 219 km/s; chi^2: 1.093976;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 16; velocity dispersion: 216 km/s; chi^2: 1.047820;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 17; velocity dispersion: 217 km/s; chi^2: 1.037808;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 18; velocity dispersion: 220 km/s; chi^2: 1.004273;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 19; velocity dispersion: 219 km/s; chi^2: 0.977566;
sigma instument: 0.900000; template number: 400; mask region: 0; degree: 20; velocity dispersion: 219 km/s; chi^2: 0.971427;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 4; velocity dispersion: 232 km/s; chi^2: 1.322781;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 5; velocity dispersion: 215 km/s; chi^2: 1.199213;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 6; velocity dispersion: 215 km/s; chi^2: 1.120250;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 7; velocity dispersion: 219 km/s; chi^2: 1.098473;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 8; velocity dispersion: 221 km/s; chi^2: 1.093927;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 9; velocity dispersion: 230 km/s; chi^2: 1.059590;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 10; velocity dispersion: 230 km/s; chi^2: 1.057607;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 11; velocity dispersion: 226 km/s; chi^2: 0.992522;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 12; velocity dispersion: 224 km/s; chi^2: 0.930423;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 13; velocity dispersion: 223 km/s; chi^2: 0.929283;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 14; velocity dispersion: 226 km/s; chi^2: 0.895695;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 15; velocity dispersion: 226 km/s; chi^2: 0.889461;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 16; velocity dispersion: 226 km/s; chi^2: 0.887452;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 17; velocity dispersion: 226 km/s; chi^2: 0.887410;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 18; velocity dispersion: 224 km/s; chi^2: 0.885760;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 19; velocity dispersion: 225 km/s; chi^2: 0.885321;
sigma instument: 0.900000; template number: 400; mask region: 1; degree: 20; velocity dispersion: 225 km/s; chi^2: 0.881677;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 4; velocity dispersion: 247 km/s; chi^2: 1.611961;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 5; velocity dispersion: 249 km/s; chi^2: 1.523634;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 6; velocity dispersion: 222 km/s; chi^2: 1.427827;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 7; velocity dispersion: 221 km/s; chi^2: 1.377032;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 8; velocity dispersion: 218 km/s; chi^2: 1.340573;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 9; velocity dispersion: 220 km/s; chi^2: 1.282060;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 10; velocity dispersion: 223 km/s; chi^2: 1.204393;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 11; velocity dispersion: 223 km/s; chi^2: 1.155015;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 12; velocity dispersion: 223 km/s; chi^2: 1.148453;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 13; velocity dispersion: 220 km/s; chi^2: 1.141748;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 14; velocity dispersion: 218 km/s; chi^2: 1.085166;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 15; velocity dispersion: 218 km/s; chi^2: 1.085122;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 16; velocity dispersion: 215 km/s; chi^2: 1.045475;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 17; velocity dispersion: 216 km/s; chi^2: 1.034859;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 18; velocity dispersion: 220 km/s; chi^2: 1.003103;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 19; velocity dispersion: 219 km/s; chi^2: 0.976242;
sigma instument: 0.900000; template number: 450; mask region: 0; degree: 20; velocity dispersion: 219 km/s; chi^2: 0.971043;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 4; velocity dispersion: 234 km/s; chi^2: 1.306658;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 5; velocity dispersion: 217 km/s; chi^2: 1.190063;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 6; velocity dispersion: 219 km/s; chi^2: 1.107562;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 7; velocity dispersion: 220 km/s; chi^2: 1.093774;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 8; velocity dispersion: 221 km/s; chi^2: 1.091003;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 9; velocity dispersion: 228 km/s; chi^2: 1.057776;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 10; velocity dispersion: 227 km/s; chi^2: 1.055933;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 11; velocity dispersion: 226 km/s; chi^2: 0.992183;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 12; velocity dispersion: 224 km/s; chi^2: 0.929351;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 13; velocity dispersion: 223 km/s; chi^2: 0.928332;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 14; velocity dispersion: 226 km/s; chi^2: 0.895052;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 15; velocity dispersion: 226 km/s; chi^2: 0.888003;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 16; velocity dispersion: 225 km/s; chi^2: 0.886226;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 17; velocity dispersion: 225 km/s; chi^2: 0.886214;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 18; velocity dispersion: 224 km/s; chi^2: 0.885041;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 19; velocity dispersion: 225 km/s; chi^2: 0.884521;
sigma instument: 0.900000; template number: 450; mask region: 1; degree: 20; velocity dispersion: 225 km/s; chi^2: 0.880737;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 4; velocity dispersion: 247 km/s; chi^2: 1.611961;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 5; velocity dispersion: 249 km/s; chi^2: 1.523494;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 6; velocity dispersion: 222 km/s; chi^2: 1.427827;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 7; velocity dispersion: 221 km/s; chi^2: 1.377032;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 8; velocity dispersion: 218 km/s; chi^2: 1.340573;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 9; velocity dispersion: 220 km/s; chi^2: 1.282060;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 10; velocity dispersion: 223 km/s; chi^2: 1.202975;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 11; velocity dispersion: 222 km/s; chi^2: 1.153649;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 12; velocity dispersion: 223 km/s; chi^2: 1.140330;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 13; velocity dispersion: 222 km/s; chi^2: 1.126795;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 14; velocity dispersion: 218 km/s; chi^2: 1.081689;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 15; velocity dispersion: 218 km/s; chi^2: 1.081591;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 16; velocity dispersion: 215 km/s; chi^2: 1.044522;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 17; velocity dispersion: 215 km/s; chi^2: 1.031278;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 18; velocity dispersion: 220 km/s; chi^2: 1.001922;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 19; velocity dispersion: 219 km/s; chi^2: 0.975779;
sigma instument: 0.900000; template number: 500; mask region: 0; degree: 20; velocity dispersion: 218 km/s; chi^2: 0.970204;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 4; velocity dispersion: 235 km/s; chi^2: 1.300008;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 5; velocity dispersion: 217 km/s; chi^2: 1.190063;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 6; velocity dispersion: 218 km/s; chi^2: 1.107515;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 7; velocity dispersion: 220 km/s; chi^2: 1.090271;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 8; velocity dispersion: 221 km/s; chi^2: 1.088975;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 9; velocity dispersion: 231 km/s; chi^2: 1.047134;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 10; velocity dispersion: 231 km/s; chi^2: 1.047134;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 11; velocity dispersion: 227 km/s; chi^2: 0.987798;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 12; velocity dispersion: 224 km/s; chi^2: 0.929346;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 13; velocity dispersion: 223 km/s; chi^2: 0.928263;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 14; velocity dispersion: 226 km/s; chi^2: 0.895050;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 15; velocity dispersion: 226 km/s; chi^2: 0.888003;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 16; velocity dispersion: 225 km/s; chi^2: 0.886226;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 17; velocity dispersion: 225 km/s; chi^2: 0.886214;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 18; velocity dispersion: 224 km/s; chi^2: 0.885041;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 19; velocity dispersion: 225 km/s; chi^2: 0.884523;
sigma instument: 0.900000; template number: 500; mask region: 1; degree: 20; velocity dispersion: 225 km/s; chi^2: 0.880735;
sigma instument: 0.900000; template number: 550; mask region: 0; degree: 4; velocity dispersion: 248 km/s; chi^2: 1.608630;
sigma instument: 0.900000; template number: 550; mask region: 0; degree: 5; velocity dispersion: 249 km/s; chi^2: 1.523494;
sigma instument: 0.900000; template number: 550; mask region: 0; degree: 6; velocity dispersion: 222 km/s; chi^2: 1.427827;
